frame,frame_index,gt_id,crowd_index,cost_px,chamfer_px,center_px,gt_center_u,gt_center_v,crowd_center_u,crowd_center_v
NET_ARG_231908_frame0,0,0,31,4.706162,3.133887,6.289101,327.854335,869.969771,324.697864,864.530150
NET_ARG_231908_frame0,0,2,18,3.462889,2.312699,4.600759,1457.477605,653.768602,1461.264464,651.155811
NET_ARG_231908_frame0,0,3,9,3.691483,2.160595,6.123555,1591.018521,473.850705,1593.025258,468.065299
NET_ARG_231908_frame0,0,4,0,3.787062,2.642496,4.578264,465.770885,596.719163,470.297857,596.035773
NET_ARG_231908_frame0,0,5,17,1.364961,1.124178,0.963132,1268.273390,599.051029,1269.155679,598.664780
NET_ARG_231908_frame0,0,6,19,2.653950,1.934154,2.879185,1778.281389,601.034728,1779.904813,598.656872
NET_ARG_231908_frame0,0,7,35,4.615680,2.986102,6.518313,2313.521070,956.255463,2317.797965,951.336463
NET_ARG_231908_frame0,0,8,28,2.399414,1.815943,2.333885,1803.765224,719.565568,1806.070395,719.200593
NET_ARG_231908_frame0,0,9,37,4.212475,3.262184,3.801167,890.096090,1070.197926,886.466407,1071.326766
NET_ARG_231908_frame0,0,10,15,2.596116,1.783737,3.249515,1041.668431,647.013463,1042.168540,643.802663
NET_ARG_231908_frame0,0,11,2,2.125493,1.538289,2.348815,868.240325,597.385206,866.717872,595.596612
NET_ARG_231908_frame0,0,12,16,1.609280,1.272813,1.345868,1168.808201,676.642772,1167.769755,675.786624
NET_ARG_231908_frame0,0,13,30,5.336443,3.369621,7.867287,1955.492523,707.321300,1962.591111,703.929509
NET_ARG_231908_frame0,0,14,32,3.484094,3.023502,1.842368,1928.058110,951.695665,1928.264432,949.864886
NET_ARG_231908_frame0,0,15,36,10.589779,6.792945,15.187337,847.412997,1043.947444,860.880886,1036.928103
NET_ARG_231908_frame0,0,16,11,54.919722,38.579998,65.358893,1718.797119,585.135298,1683.607518,530.058289
NET_ARG_231908_frame0,0,18,7,1.169322,1.119991,0.197326,1554.984121,538.903516,1555.023996,538.710261
NET_ARG_231908_frame0,0,19,33,4.399925,3.040413,5.438049,2146.577066,885.748188,2142.516412,882.131079
NET_ARG_231908_frame0,0,20,29,3.270502,2.237053,4.133799,1806.870809,749.883694,1810.203233,747.437627
NET_ARG_231908_frame0,0,21,20,3.897639,2.488660,5.635917,1848.401507,602.506568,1853.809381,600.919604
NET_ARG_231908_frame1,1,0,28,3.531025,2.469946,4.244316,327.560979,870.209726,325.653400,866.418240
NET_ARG_231908_frame1,1,1,31,4.814832,3.288637,6.104780,1650.372545,935.446381,1653.883490,930.452224
NET_ARG_231908_frame1,1,2,18,3.240942,2.254194,3.946990,1456.930553,653.792947,1460.175470,651.545895
NET_ARG_231908_frame1,1,4,0,2.103359,1.686069,1.669160,464.899231,596.807527,466.214075,597.835767
NET_ARG_231908_frame1,1,5,17,1.841075,1.424526,1.666197,1268.264391,599.186220,1269.894989,598.843637
NET_ARG_231908_frame1,1,6,20,2.528575,1.822116,2.825837,1777.840069,601.009304,1779.817189,598.990306
NET_ARG_231908_frame1,1,7,33,4.588556,3.013832,6.298898,2312.933324,956.261335,2317.462739,951.884063
NET_ARG_231908_frame1,1,8,25,2.461715,1.851284,2.441726,1803.306495,719.513977,1805.748191,719.525976
NET_ARG_231908_frame1,1,9,34,4.010615,3.126768,3.535386,889.807672,1069.965411,886.486705,1071.177901
NET_ARG_231908_frame1,1,10,15,1.968565,1.406526,2.248156,1041.576638,646.862632,1041.523744,644.615099
NET_ARG_231908_frame1,1,11,3,1.732246,1.435603,1.186573,867.972899,597.325091,867.735700,596.162468
NET_ARG_231908_frame1,1,12,16,1.361081,1.195295,0.663145,1168.413324,676.697027,1168.637824,676.073038
NET_ARG_231908_frame1,1,13,27,5.076781,3.221490,7.421165,1954.349954,706.990486,1961.304559,704.400667
NET_ARG_231908_frame1,1,14,32,4.219207,3.009071,4.840547,1926.348988,951.830616,1929.098832,947.846993
NET_ARG_231908_frame1,1,15,35,10.962418,7.117062,15.381426,846.013833,1043.605782,859.249461,1035.769556
NET_ARG_231908_frame1,1,16,10,2.270071,1.679476,2.362381,1717.913607,585.145864,1718.831665,582.969166
NET_ARG_231908_frame1,1,18,9,2.494751,1.769887,2.899454,1555.480056,539.038991,1558.323815,538.473420
NET_ARG_231908_frame1,1,19,29,3.566356,2.427497,4.555439,2146.815710,885.767850,2144.200990,882.037533
NET_ARG_231908_frame1,1,20,26,3.034171,2.068082,3.864356,1806.071043,749.776299,1809.462184,747.923352
NET_ARG_231908_frame1,1,21,21,3.834631,2.463512,5.484477,1848.085100,602.539441,1853.383115,601.121513
NET_ARG_231908_frame2,2,0,25,3.074938,2.446880,2.512229,327.434298,870.545343,325.839617,868.604135
NET_ARG_231908_frame2,2,1,26,3.740322,2.623602,4.466878,1648.427367,935.317089,1650.479392,931.349446
NET_ARG_231908_frame2,2,2,20,2.898310,1.953721,3.778355,1456.291389,653.832838,1459.439616,651.743668
NET_ARG_231908_frame2,2,3,13,62.238061,44.408124,71.319750,1589.389182,473.591630,1558.651756,537.947806
NET_ARG_231908_frame2,2,4,1,2.632054,1.985259,2.587179,463.802358,596.910471,466.296797,596.223982
NET_ARG_231908_frame2,2,5,10,2.376273,1.819424,2.227394,1268.448896,599.359099,1270.352862,598.203159
NET_ARG_231908_frame2,2,6,15,2.572486,1.849045,2.893763,1777.374858,601.016679,1778.595603,598.393009
NET_ARG_231908_frame2,2,7,29,4.825624,3.086121,6.958012,2312.419277,956.549917,2316.916607,951.240684
NET_ARG_231908_frame2,2,8,21,3.221126,2.241670,3.917823,1802.800216,719.536537,1805.654364,716.852664
NET_ARG_231908_frame2,2,9,30,3.817001,3.154551,2.649798,889.723643,1069.865591,887.328734,1070.999541
NET_ARG_231908_frame2,2,10,18,2.315388,1.694966,2.481687,1041.742999,646.738292,1043.068885,644.640485
NET_ARG_231908_frame2,2,11,5,1.577036,1.434576,0.569841,867.891070,597.295105,867.631126,596.788007
NET_ARG_231908_frame2,2,12,19,1.244638,1.234099,0.042159,1168.151617,676.781621,1168.114208,676.762180
NET_ARG_231908_frame2,2,13,22,4.739575,2.986034,7.014168,1952.911688,706.645679,1959.374046,703.918688
NET_ARG_231908_frame2,2,14,27,4.704029,3.193056,6.043894,1923.600966,952.137904,1926.656566,946.923312
